language,English,German,French,Italian,Spanish
$iconOff,Icon Off,Symbol aus,Sans icone,Icona no,No
$iconOn,Icon On,Symbol ein,Avec icone,Icona sì,Sì
$invertYaxis,Invert Aim,Zielen umkehren,Visée inversée,Inverti mira,Invertir puntería
$language,Language,Sprache,Langue,Lingua,Idioma
$languageCaps,LANGUAGE,SPRACHE,LANGUE,LINGUA,IDIOMA
$lefty,Lefty,Linkshänder,Gaucher,Mancino,Zurdo
$leftyCaps,       LEFTY,LINKSHÄNDER,     GAUCHER,    MANCINO,      ZURDO
$levelCompleteCaps,LEVEL COMPLETE,LEVEL ABGESCHLOSSEN,NIVEAU TERMINE,LIVELLO COMPLETATO,NIVEL COMPLETADO
$lifeAtSpark,Life at Spark,Leben bei Spark,Le quotidien chez Spark,La vita in Spark,Vivir en Spark
$load,Load,Laden,Charger,Carica,Cargar
$loadGame,Load Game,Spiel laden,Charger partie,Carica partita,Cargar partida
$loadMission,Load Mission,Mission laden,Charger mission,Carica missione,Cargar misión
$loadProfile,Load Profile,Profil Laden,Charger Profil,Carica profilo,Cargar perfil
$loadProfileCaps,LOAD PROFILE,PROFIL LADEN,CHARGER PROFIL,CARICA PROFILO,CARGAR PERFIL
$locked,   Locked,  Gesperrt,Verrouillé(e),   Bloccato,  Bloqueado
$makingOf1,    Making Of 1,    Making Of 1,    Making Of 1, Realizzazione 1,   Cómo se hizo 1
$makingOf2,    Making Of 2,    Making Of 2,    Making Of 2, Realizzazione 2,   Cómo se hizo 2
$makingOf3,    Making Of 3,    Making Of 3,    Making Of 3, Realizzazione 3,   Cómo se hizo 3
$medium,Medium,Mittel,Moyenne,Media,Media
$missionDuration,Mission Duration:,Missionsdauer:,Durée de la mission :,Durata missione:,Duración de la misión:
$mono,Mono,Mono,Mono,Mono,Mono
$more,More,Mehr,Plus,Altro,Más
$movies,Movies,Filme,Cinématiques,Filmati,Escenas
$multiplayer,   Multiplayer,   Mehrspieler,   Multijoueur,Multigiocatore,  Multijugador
$multiplayerCaps,MULTIPLAYER,MEHRSPIELER,MULTIJOUEUR,MULTIGIOCATORE,MULTIJUGADOR
$music,Music,Musik,Musique,Musica,Música
$navigate,Navigate,Navigieren,Parcourir,Naviga,Navegar
$newGame,New Game,Neues Spiel,Nouvelle partie,Nuova partita,Nueva partida
$newGameCaps,NEW GAME,NEUES SPIEL,NOUVELLE PARTIE,NUOVA PARTITA,NUEVA PARTIDA
$nextPrevious,Next / Previous,Weiter / Zurück,Suivant / Précéd.,Avanti / Indietro,Sig. / Ant.
$no,No,Nein,Non,No,No
$normal,Normal,Normal,Normale,Normale,Normal
$off,Off,Aus,Sans,No,Off
$on,On,Ein,Avec,Sì,On
$OPMmovie1,Heeding the Call ,Dem Ruf folgen,Vidéo 1,Chiamata alle armi,Acudiendo a la llamada
$OPMmovie2,Sounds of War,Kriegsgeräusche,Vidéo 2,Echi di guerra,Sonidos de guerra
$OPMmovie3,Epic by Design,Episches Design,Vidéo 3,Destino epico,Épica por Design
$OPMmovie4,Many Who Fought,Viele Kämpften,Les combattants,La lotta di molti,Muchos que lucharon
$OPMmovie5,Voices of War ,Stimmen des Krieges,Les voix de la guerre,Le voci della guerra,Voces de guerra
$options, Options,Optionen, Options, Opzioni,Opciones
$optionsCaps,OPTIONS,OPTIONEN,OPTIONS,OPZIONI,OPCIONES
$page,Page,Seite,Page,Pagina,Página
$performanceRating,Performance Rating:,Leistung:,Classement des performances :,Prestazioni:,Índice de rendimiento:
$play,Play,Weiter,Jouer,Vedi,Jugar
$playOnline,Play Online,Online spielen,Jouer en ligne,Gioca online,Jugar online
$playLAN,Play LAN,LAN spielen,Jouer en réseau,GIOCA VIA LAN,Jugar en red local
$pauseMenuCaps,PAUSE MENU,PAUSE-MENÜ,MENU PAUSE,MENU DI PAUSA,MENÚ PAUSA
$playerStats,Player Stats,Spielerstatistik,Stats joueur,Statistiche giocatore,ESTADÍSTICAS DEL JUGADOR
$playerStatsCaps,PLAYER STATS,SPIELERSTATISTIK,STATS JOUEUR,STATISTICHE GIOCATORE,ESTADÍSTICAS DEL JUGADOR
$preferredWeapon,Preferred Weapon:,Lieblingswaffe:,Arme favorite :,Arma preferita:,Arma preferida:
$pressStart,       Press START button,     START-Taste drücken,Appuyez sur la touche START ,     Premi il tasto START,      Pulsa el botón START
$pressStartNGC,           Press START,          START drücken,Appuyez sur le bouton START,           Premi START,      Pulsa START/PAUSE
$pressStartXbox,           Press START,          START drücken,Appuyez sur la touche START,           Premi START,        Presionar START
$profile1,Johnny Bravo,Johnny Bravo,Johnny Bravo,Johnny Bravo,Johnny Bravo
$profile2,Esmerelda,Esmeralda,Esmerelda,Esmeralda,Esmeralda
$profiles,Profiles,Profile,Profils,Profili,Perfiles
$profilesCaps,PROFILES,  PROFILE,  PROFILS,  PROFILI,PERFILES
$quickshooter,Quickshooter,Schnellfeuerer,Tireur d'élite,Tiratore rapido,Gatillo rápido
$quickshooterCaps,   QUICKSHOOTER,   SCHELLFEUERER,    TIREUR D'ELITE,TIRATORE RAPIDO,   GATILLO RÁPIDO
$quit,Quit,Ende,Quitter,Abbandona,Salir
$recruit,New Recruit,Neuer Rekrut,Nouvelle recrue,Nuova recluta,Recluta novato
$reset,Reset,Stand.,Rétab.,Azzera,Reinicio
$save,Save,Speichern,Sauvegarder,Salva,Guardar
$saveProfile,Save Profile,Profil speichern,Sauvegarder profil,Salva profilo,Guardar perfil
$screenCalibrationCaps,  SCREEN CALIBRATION,    BILDANPASSUNG, CALIBRAGE DE L'ECRAN,CALIBRATURA SCHERMO,PANTALLA DE CALIBRACIÓN
$seasonedVet,Seasoned Vet,Veteran,Vétéran,Veterano,Veterano endurecido
$selectProfileCaps,SELECT PROFILE,PROFIL WÄHLEN,SELECTIONNER PROFIL,SCEGLI PROFILO,SELECCIONAR PERFIL
$shotsFired,Shots Fired:,Schüsse:,Coups tirés :,Colpi sparati:,Disparos realizados:
$showObjectives,Show Objectives,Ziele zeigen,Voir objectifs,Mostra obiettivi,Mostrar objetivos
$singlePlayer,    Single Player,    Einzelspieler,          Solo,Giocatore singolo,      Un jugador
$slower,Slower,Langsamer,Plus lente,Lenta,Más lento
$sound,Sound,Sound,Son,Sonoro,Sonido
$standard,Standard,Standard,Standard,Standard,Estándar
$standardCaps, STANDARD, STANDARD, STANDARD, STANDARD,ESTÁNDAR
$stereo,Stereo,Stereo,Stéréo,Stereo,Estéreo
$storyboards,Storyboards,Storyboards,Storyboards,Storyboard,Storyboards
$subtitles,Subtitles,Untertitel,Sous-Titres,Sottotitoli,Subtítulos
$supersoldier,Super-Soldier,Super-Soldat,Super soldat,Super soldato,Supersoldado
$tank,(Tank),(Panzer),(Blindé),(Carro armato),(Tanque)
$toggle,Toggle,Umschalten,Alterner,Cambia,Modifica
$turnLookSpeed,Turn/Look Speed,Dreh-/Blickgeschw.,Vitesse Rot./Vue,Sensibilità visuale,Vel. Giro/Vista
$unlockables,Unlockables,Extras,A débloquer,Sbloccabili,Desbloqueables
$vibration,Vibration,Vibration,Vibration,Vibrazione,Vibración
$view,View,Zeigen,Voir,Vedi,Ver
$yes,Yes,Ja,Oui,Sì,Sí
$a,a,a,a,a,a
$A,A,A,A,A,A
$b,b,b,b,b,b
$B,B,B,B,B,B
$c,c,c,c,c,c
$C,C,C,C,C,C
$d,d,d,d,d,d
$D,D,D,D,D,D
$e,e,e,e,e,e
$E,E,E,E,E,E
$f,f,f,f,f,f
$F,F,F,F,F,F
$g,g,g,g,g,g
$G,G,G,G,G,G
$h,h,h,h,h,h
$H,H,H,H,H,H
$i,i,i,i,i,i
$I,I,I,I,I,I
$j,j,j,j,j,j
$J,J,J,J,J,J
$k,k,k,k,k,k
$K,K,K,K,K,K
$l,l,l,l,l,l
$L,L,L,L,L,L
$m,m,m,m,m,m
$M,M,M,M,M,M
$n,n,n,n,n,n
$N,N,N,N,N,N
$o,o,o,o,o,o
$O,O,O,O,O,O
$p,p,p,p,p,p
$P,P,P,P,P,P
$q,q,q,q,q,q
$Q,Q,Q,Q,Q,Q
$r,r,r,r,r,r
$R,R,R,R,R,R
$s,s,s,s,s,s
$S,S,S,S,S,S
$t,t,t,t,t,t
$T,T,T,T,T,T
$u,u,u,u,u,u
$U,U,U,U,U,U
$v,v,v,v,v,v
$V,V,V,V,V,V
$w,w,w,w,w,w
$W,W,W,W,W,W
$x,x,x,x,x,x
$X,X,X,X,X,X
$y,y,y,y,y,y
$Y,Y,Y,Y,Y,Y
$z,z,z,z,z,z
$Z,Z,Z,Z,Z,Z
$space,Space,Leertaste,Espace,Spazio,Espacio
$delete,Delete,Rücktaste,Suppr.,Elimina,Borrar
$shift,Shift,Umschalten,Maj.,Maiusc,Mayúsculas
$done,Done,OK,Terminé,Fatto,Hecho
$0 ,0,0,0,0,0
$1 ,1,1,1,1,1
$2 ,2,2,2,2,2
$3 ,3,3,3,3,3
$4 ,4,4,4,4,4
$5 ,5,5,5,5,5
$6 ,6,6,6,6,6
$7 ,7,7,7,7,7
$8 ,8,8,8,8,8
$9 ,9,9,9,9,9
$action,Action,Aktion,Action,Azione,Acción
$aim,Aim,Zielen,Viser,Mira,Apuntar
$melee,Melee,Nahkampf,Mêlée,Mischia,Cuerpo a cuerpo
$centerView,Center Turret,Geschütz zentrieren,Centrer tourelle,Centra torretta,Centrar torreta
$cycle,Cycle,Wechseln,Parcourir,Cambia,Cambiar
$cycleGrenade,Cycle Grenade,Granate wechs.,Grenades,Cambia granata,Cambiar granada
$cycleItem,Cycle Item,Objekt wechseln,Objets,Cambia oggetto,Cambiar de objeto
$cycleThrownWeapon,Cycle Thrown Weapon,Wurfwaffe wechseln,Armes lancées,Cambia arma da lancio,Cambiar arma arrojadiza
$cycleWeapon,Cycle Weapon,Waffe wechseln,Armes,Cambia arma,Camb. arma
$down,Down,Unten,Bas,Giù,Abajo
$fire,Fire,Feuer,Tirer,Spara,Disparar
$grenade,Grenade,Granate,Grenade,Granata,Granada
$healthPack,Health Pack,Erste Hilfe,Trousse soins,Kit medico,Botiquín
$item,Item,Objekt,Objet,Oggetto,Objeto
$jump,Jump,Springen,Sauter,Salta,Saltar
$L3Button,L3 Button,L3-Taste,Touche L3,Tasto L3,Botón L3
$leanLeft,Lean L (Aim),L lehnen (Zielen),Pencher G (viser),Sporgiti sx,Inclinarse izq. (Ap.)
$leanRight,Lean R (Aim),R lehnen (Zielen),Pencher D (viser),Sporgiti dx,Inclinarse der. (Ap.)
$lean,(Press) Lean,Lehnen (drücken),(App.) Se pencher,(Premuto) Sporgiti,(Pulsar) Inclinarse
$lookTurn,Look / Turn,Blick/Drehen,Regarder/Tourner,Guarda/Girati,Mirar/Girar
$lookStrafe,Look / Strafe,Blick/Seitlich,Regard./Pas lat.,Guarda/Spostati,Mirar/Desp. lateral
$moveStrafe,Move / Strafe,Bewegen/Seitlich,Avancer/Pas lat.,Muoviti/Spostati,Mover/Desp. lat.
$moveTurn,Move / Turn,Bewegen/Drehen,Avancer/Tourner,Muoviti/Girati,Moverse/Girar
$pause,Pause,Pause,Pause,Pausa,Pausa
$posture,Posture,Haltung,Posture,Posizione,Postura
$postureDown,Posture Down,Haltung runter,Posture basse,Posizione giù,Bajar de postura
$postureUp,Posture Up,Haltung hoch,Posture haute,Posizione su,Subir de postura
$R3Button,R3 Button,R3-Taste,Touche R3,Tasto R3,Botón R3
$reload,Reload,Nachladen,Recharger,Ricarica,Recargar
$select,Select,Wählen,Sélect.,Seleziona,Elegir
$showHelp,Show Help,Hilfe anzeigen,Avec aide,Mostra aiuti,Mostrar ayuda
$showHUD,Show HUD,HUD anzeigen,Afficher l'ATH,Mostra interfaccia,Ver HUD
$throw,Throw,Werfen,Lancer,Lancia,Lanzar
$throwWeapon,Throw Weapon,Wurfwaffe,Lancer arme,Lancia arma,Arrojar arma
$throwGrenade,Throw Grenade,Granate werfen,Lancer grenade,Lancia granata,Arrojar granada
$useHealthPack,Use Health Pack,Erste Hilfe benutzen,Utiliser trousse,Usa kit medico,Usar botiquín
$alliesLost,Allies Lost:,Verlorene Verbündete:,Pertes alliées :,Alleati persi:,Aliados perdidos:
$up,Up / Jump,Oben/Sprung,Haut / Sauter,Su/Salto,Arriba/Saltar
$use,Use,Benutzen,Utiliser,Usa,Usar
$useItem,Use Item,Objekt benutzen,Utiliser objet,Usa oggetto,Usar objeto
$weapon,Weapon,Waffe,Arme,Arma,Arma
$PS2_MCNoCard,No memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1.  Finest Hour requires ${SaveGameSize}KB of free space to save data.  Please insert a memory card (8MB) (for PlayStation®2) containing sufficient space or you will not be able to save game data.,"Keine Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 eingelegt. Zum Speichern der Finest Hour-Spieldaten legen Sie bitte eine Memory Card (8MB) (für PlayStation®2) mit mindestens ${SaveGameSize} KB freiem Speicherplatz ein, da Sie sonst das Spiel nicht speichern können.","Espace insuffisant sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1. Call of Duty: Le jour de gloire nécessite ${SaveGameSize} KB d’espace libre pour sauvegarder les données. Insérer une memory card (8MB) (pour PlayStation®2) avec assez d’espace libre, ou il sera impossible de sauvegarder les données.",Nessuna memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1. L'ora degli Eroi richiede ${SaveGameSize}KB di spazio libero per salvare i dati. Inserire una memory card (8MB) (per PlayStation®2) con spazio libero sufficiente oppure sarà impossibile salvare i dati di gioco.,No hay memory card (8MB) (para PlayStation®2) en la ranura para MEMORY CARD 1. Finest Hour necesita ${SaveGameSize} KB de espacio libre para guardar datos. Inserta una memory card (8MB) (para PlayStation®2) con suficiente espacio o no podrás guardar datos del juego.
$PS2_ControllerSetupInfo,"To join the game, connect a DUALSHOCK®2 analog controller and press $Accept.  To leave the game, press $Accept on any active DUALSHOCK®2 analog controller.",Zum Mitspielen schließen Sie einen Analog Controller (DUALSHOCK®2) an und drücken Sie $Accept. Zum Verlassen des Spiels drücken Sie $Accept auf einem angeschlossenen Analog Controller (DUALSHOCK®2).,"Pour rejoindre la partie, connecter une manette analogique (DUALSHOCK®2) et appuyer sur $Accept. Pour quitter la partie, appuyer sur $Accept pour toutes les manettes analogiques (DUALSHOCK®2) actives.","Per partecipare a una partita, collegare un controller analogico (DUALSHOCK®2) e premere $Accept. Per abbandonare la partita, premere $Accept su qualunque controller analogico (DUALSHOCK®2) attivo.","Para unirte a la partida, conecta un mando analógico (DUALSHOCK®2) y pulsa $Accept. Para salir de la partida, pulsa $Accept en cualquier mando analógico (DUALSHOCK®2) activo."
$PS2_ControllerText,Controller Port 1-A,Controller-Anschluss 1-A,Port de manette 1-A,Ingresso controller 1-A,Puerto de mando 1-A
$PS2_CorruptedText,Corrupt Save,Fehlerhafter Spielstand,Sauvegarde corrompue,Salvataggio danneggiato,Datos guardados dañados
$PS2_MCAutosaveDisabled,Memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 was removed.  Autosave has been disabled.  Manually save your game to re-enable autosave.,"Die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 wurde entfernt. Das automatische Speichern wurde deaktiviert. Speichern Sie das Spiel manuell, um das automatische Speichern wieder zu aktivieren.",La memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N° 1 a été retirée. Le système d’Auto-sauvegarde a été désactivé. Sauvegarder manuellement pour réactiver l'Auto-sauvegarde.,La memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 è stata rimossa. Autosalvataggio disabilitato. Salvare manualmente la partita per riabilitare l'Autosalvataggio.,La memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 ha sido extraída. El autoguardado ha sido desactivado. Guarda manualmente la partida para reactivar el autoguardado.
$PS2_MCAutosaveFailed,Autosave failed!  Autosave has been disabled.  Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and manually save your game to re-enable autosave.,"Automatisches Speichern gescheitert!  Das automatische Speichern wurde deaktiviert. Überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und speichern Sie das Spiel manuell, um das automatische Speichern wieder zu aktivieren.",Echec de l'Auto-sauvegarde ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et sauvegarder manuellement pour réactiver l'Auto-sauvegarde.,Autosalvataggio fallito! Autosalvataggio disabilitato. Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e salvare manualmente la partita per riabilitare l'Autosalvataggio.,¡Error al autoguardar! El autoguardado ha sido desactivado. Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 y guarda manualmente la partida para reactivar el autoguardado.
$PS2_MCAutosaveReconfirm,The memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 has been removed since last save. ,Die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 wurde seit dem letzten Speichern entfernt.,La memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N° 1 a été retirée depuis la dernière sauvegarde.,La memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 è stata rimossa dall'ultimo salvataggio. ,La memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 ha sido extraída desde la última vez que se guardaron datos.
$PS2_MCAutosaving,"Autosaving data. Do not remove memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1, controller, or reset/switch off console.",Automatische Datenspeicherung. Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Auto-sauvegarde en cours. Ne pas retirer la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 ou la manette, ni redémarrer ou éteindre la console.",Autosalvataggio dei dati! Non rimuovere la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 né il controller e non resettare/spegnere la console.,Autoguardando datos. No extraigas la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 ni el mando. No reinicies ni apagues la consola.
$PS2_MCCancel,Cancel,Abbrechen,Annuler,Annulla,Cancelar
$PS2_MCCardChanged,The memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 has changed.,Die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 wurde gewechselt.,La memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N° 1 a été changée.,La memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 è cambiata.,La memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 ha cambiado.
$PS2_MCCardRemoved,No memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1.,Keine Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1.,Pas de memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N° 1.,Nessuna memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1.,No hay memory card (8MB) (para PlayStation®2) en la ranura para MEMORY CARD 1.
