language,English,German,French,Italian,Spanish
$MCLoadFailed,Load failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.,Laden gescheitert! Bitte überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec du chargement ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Caricamento fallito! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al cargar! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$MCCreateSaveFile,No Finest Hour save data present on memory card (PS2) in MEMORY CARD slot 1.  Would you like to create a Finest Hour save file?,Keine gespeicherten Finest Hour-Daten auf der Memory Card (PS2) in MEMORY CARD-Steckplatz 1 vorhanden. Möchten Sie eine Finest Hour-Datei erstellen?,Pas de données 'Le jour de gloire' présentes sur la memory card (PS2) dans la fente pour MEMORY CARD N° 1. Créer un fichier de sauvegarde 'Le jour de gloire' ?,Nessun file di salvataggio per L'ora degli Eroi presente sulla memory card (PS2) inserita nell’ingresso MEMORY CARD 1. Creare un file di salvataggio per L'ora degli Eroi? ,No hay datos guardados de Finest Hour en la memory card (PS2) de la ranura para MEMORY CARD 1. ¿Deseas crear un archivo guardado de Finest Hour?
$MCCreating,"Creating save game file. Do not remove memory card (PS2), controller, or reset/switch off console.",Erstellt Daten. Memory Card (PS2) und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Création d'un fichier de sauvegarde en cours. Ne pas retirer la memory card (PS2) ou la manette, ni redémarrer ou éteindre la console.",Creazione del file di salvataggio in corso... Non rimuovere la memory card (PS2) né il controller e non resettare/spegnere la console!,Creando archivo de partida guardada. No extraigas la memory card (PS2) ni el mando. No reinicies ni apagues la consola.
$MCNewGameOKAutosave,"While this icon is on the screen, do not remove memory card (PS2), controller, or reset/switch off console.","Solange dieses Symbol auf dem Bildschirm erscheint, entfernen Sie Memory Card (PS2) und Controller nicht und stellen die Konsole nicht zurück oder schalten sie ab.","Lorsque cet icone est à l'écran, ne pas retirer la memory card (PS2) ou la manette, ni redémarrer ou éteindre la console.","Mentre questa icona è visibile, non rimuovere la memory card (PS2) né il controller e non resettare/spegnere la console!","Mientras este icono esté en la pantalla, no extraigas la memory card (PS2) ni el mando. No reinicies ni apagues la consola."
$MCCreateOK,Creation successful.,Erstellen erfolgreich.,Création terminée.,Creazione completata.,Éxito al crear.
$MCCreateFailed,Creation failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.,Erstellen gescheitert! Überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec de la création ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Creazione fallita! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al crear! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$MCCreateFailedContinue,Creation failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.  Continue without saving?,Erstellen gescheitert! Überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec de la création ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Creazione fallita! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al crear! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$MCWrongVersion,Save file is wrong version. Overwrite?,Datei hat die falsche Version. Überschreiben?,Version incorrecte du fichier de sauvegarde. L'écraser ?,La versione del file di salvataggio è sbagliata. Vuoi sovrascrivere?,El archivo guardado es de otra versión. ¿Sobrescribir?
$MCSaving,"Saving data. Do not remove memory card (PS2) in MEMORY CARD slot 1, controller, or reset/switch off console.",Speichert Daten. Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Sauvegarde en cours. Ne pas retirer la memory card (PS2) ou la manette, ni redémarrer ou éteindre la console.",Salvataggio dati in corso… Non rimuovere la memory card (PS2) nell'ingresso MEMORY CARD 1 né il controller e non resettare/spegnere la console!,Guardando datos. No extraigas la memory card (PS2) ni el mando. No reinicies ni apagues la consola.
$MCSaveOK,Save successful.,Speichern erfolgreich.,Sauvegarde réussie.,Salvataggio completato.,Éxito al guardar.
$MCSaveFailed,Save failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.,Speichern gescheitert! Bitte überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec de la sauvegarde ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Salvataggio fallito! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al guardar! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$MCSaveFailedContinue,Save failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.  Continue without saving?,Speichern gescheitert! Bitte überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec de la sauvegarde ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Salvataggio fallito! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al guardar! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$MCOverwriting,"Overwriting data. Do not remove memory card (PS2) in MEMORY CARD slot 1, controller, or reset/switch off console.",Überschreibt Daten. Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Ecrasement des données en cours. Ne pas retirer la memory card (PS2) ou la manette, ni redémarrer ou éteindre la console.",Sovrascrittura dati in corso... Non rimuovere la memory card (PS2) nell'ingresso MEMORY CARD 1 né il controller e non resettare/spegnere la console!,Sobrescribiendo datos. No extraigas la memory card (PS2) ni el mando. No reinicies ni apagues la consola.
$MCOverwriteOK,Overwrite successful.,Überschreiben erfolgreich.,Ecrasement réussi.,Sovrascrittura completata.,Éxito al sobrescribir.
$MCOverwriteFailed,Overwrite failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.,Überschreiben gescheitert! Bitte überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec de l’écrasement ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Sovrascrittura fallita! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al sobrescribir! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$MCOverwriteFailedContinue,Overwrite failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.  Continue without saving?,Überschreiben gescheitert! Bitte überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec de l’écrasement ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Sovrascrittura fallita! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al sobrescribir! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$MCUnformatted,Memory card (PS2) in MEMORY CARD slot 1 is unformatted.  Format memory card (PS2)?,Die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 ist nicht formatiert. Möchten Sie die Memory Card (PS2) formatieren?,La memory card (PS2) dans la fente pour MEMORY CARD N°1 n’est pas formatée. Formater la memory card (PS2) ?,La memory card (PS2) inserita nell’ingresso MEMORY CARD 1 non è formattata. Formattare la memory card (PS2)?,La memory card (PS2) de la ranura para MEMORY CARD 1 no tiene formato. ¿Deseas formatear la memory card (PS2)?
$MCFormattedRequired,No Finest Hour save data present on memory card (PS2) in MEMORY CARD slot 1.,Keine gespeicherten Finest Hour-Daten auf der Memory Card (PS2) in MEMORY CARD-Steckplatz 1 vorhanden.,Pas de données 'Le jour de gloire' présentes sur la memory card (PS2) dans la fente pour MEMORY CARD N° 1.,Nessun file di salvataggio per L'ora degli Eroi presente sulla memory card (PS2) inserita nell’ingresso MEMORY CARD 1.,No hay datos guardados de Finest Hour en la memory card (PS2) de la ranura para MEMORY CARD 1.
$MCConfirmFormat,Are you sure you wish to format memory card (PS2) in MEMORY CARD slot 1?,"Sind Sie sicher, dass Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 formatieren möchten?",Formater la memory card (PS2) dans la fente pour MEMORY CARD N° 1 ?,Formattare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1?,¿Seguro que quieres formatear la memory card (PS2) de la ranura para MEMORY CARD 1?
$MCFormatting,"Formatting memory card (PS2) in MEMORY CARD slot 1. Do not remove memory card (PS2), controller, or reset/switch off console.",Formatiert Memory Card (PS2) in MEMORY CARD-Steckplatz 1. Memory Card (PS2) und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Formatage en cours. Ne pas retirer la memory card (PS2) dans la fente pour MEMORY CARD N° 1 ou la manette, ni redémarrer ou éteindre la console.",Formattazione della memory card (PS2) inserita nell’ingresso MEMORY CARD 1 in corso... Non rimuovere la memory card (PS2) né il controller e non resettare/spegnere la console!,Formateando la memory card (PS2) de la ranura para MEMORY CARD 1. No extraigas la memory card (PS2) ni el mando. No reinicies ni apagues la consola.
$MCFormatCancel,Cancel format?,Formatieren abbrechen?,Annuler le formatage ?,Annullare la formattazione?,¿Cancelar formatear?
$MCFormatOK,Format successful.,Formatieren erfolgreich.,Formatage réussi.,Formattazione completata.,Éxito al formatear.
$MCFormatFailed,Format failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.,Formatieren gescheitert! Bitte überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec du formatage ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Formattazione fallita! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al formatear! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$MCFormatFailedContinue,Format failed! Check memory card (PS2) in MEMORY CARD slot 1 and please try again.  Continue without saving?,Formatieren gescheitert! Bitte überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec du formatage ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Formattazione fallita! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al formatear! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$MCAutosaving,"Autosaving data. Do not remove memory card (PS2) in MEMORY CARD slot 1, controller, or reset/switch off console.",Automatische Datenspeicherung. Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Auto-sauvegarde en cours. Ne pas retirer la memory card (PS2) dans la fente pour MEMORY CARD N° 1 ou la manette, ni redémarrer ou éteindre la console.",Autosalvataggio dei dati! Non rimuovere la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 né il controller e non resettare/spegnere la console!,Autoguardando datos. No extraigas la memory card (PS2) de la ranura para MEMORY CARD 1 ni el mando. No reinicies ni apagues la consola.
$MCAutosaveDisabled,Memory card (PS2) in MEMORY CARD slot 1 was removed.  Autosave has been disabled.  Manually save your game to re-enable autosave.,"Die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 wurde entfernt. Das automatische Speichern wurde deaktiviert. Speichern Sie das Spiel manuell, um das automatische Speichern wieder zu aktivieren.",La memory card (PS2) insérée dans la fente pour MEMORY CARD N° 1 a été retirée. Le système d’Auto-sauvegarde a été désactivé. Sauvegarder manuellement pour réactiver l'Auto-sauvegarde.,La memory card (PS2) inserita nell’ingresso MEMORY CARD 1 è stata rimossa. Autosalvataggio disabilitato. Salvare manualmente la partita per riabilitare l'Autosalvataggio.,La memory card (PS2) de la ranura para MEMORY CARD 1 ha sido extraída. El autoguardado ha sido desactivado. Guarda manualmente la partida para reactivar el autoguardado.
$MCCorruptedNew,Finest Hour save data on memory card (PS2) in MEMORY CARD slot 1 is corrupted!  Would you like to create a new Finest Hour save file?,Die Finest Hour-Daten auf der Memory Card (PS2) in MEMORY CARD-Steckplatz 1 sind fehlerhaft. Möchten Sie eine neue Finest Hour-Datei erstellen?,Les données sauvegardées 'Le jour de gloire' sur la memory card (PS2) dans la fente pour MEMORY CARD N° 1 sont corrompues ! Créer un nouveau fichier de sauvegarde 'Le jour de gloire' ,I dati di L'ora degli Eroi sulla memory card (PS2) inserita nell’ingresso MEMORY CARD 1 sono danneggiati! Creare un nuovo file di salvataggio per L'ora degli Eroi?,¡Los datos guardados de Finest Hour en la memory card (PS2) de la ranura para MEMORY CARD 1 están dañados! ¿Quieres crear un nuevo archivo guardado de Finest Hour?
$MCCorrupted,Finest Hour save data on memory card (PS2) in MEMORY CARD slot 1 is corrupted!,Die Finest Hour-Daten auf der Memory Card (PS2) in MEMORY CARD-Steckplatz 1 sind fehlerhaft.,Les données sauvegardées 'Le jour de gloire' sur la memory card (PS2) dans la fente pour MEMORY CARD N° 1 sont corrompues !,I dati di L'ora degli Eroi sulla memory card (PS2) inserita nell’ingresso MEMORY CARD 1 sono danneggiati!,¡Los datos guardados de Finest Hour en la memory card (PS2) de la ranura para MEMORY CARD 1 están dañados!
$MCDataRequired,No Finest Hour save data present on memory card (PS2) in MEMORY CARD slot 1.,Keine gespeicherten Finest Hour-Daten auf der Memory Card (PS2) in MEMORY CARD-Steckplatz 1 vorhanden.,Pas de données 'Le jour de gloire' présentes sur la memory card (PS2) dans la fente pour MEMORY CARD N° 1.,Nessun file di salvataggio per L'ora degli Eroi presente sulla memory card (PS2) inserita nell’ingresso MEMORY CARD 1.,No hay datos guardados de Finest Hour en la memory card (PS2) de la ranura para MEMORY CARD 1.
$MCAutosaveReconfirm,The memory card (PS2) in MEMORY CARD slot 1 has been removed since last save.,Die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 wurde seit dem letzten Speichern entfernt.,La memory card (PS2) insérée dans la fente pour MEMORY CARD N° 1 a été retirée depuis la dernière sauvegarde.,La memory card (PS2) inserita nell’ingresso MEMORY CARD 1 è stata rimossa dall'ultimo salvataggio. ,La memory card (PS2) de la ranura para MEMORY CARD 1 ha sido extraída desde la última vez que se guardaron datos.
$MCContinue,Continue,Fortsetzen,Continuer,Continua,Continuar
$MCDelete,Delete,Löschen,Effacer,Elimina,Borrar
$MCFormat,Format,Formatieren,Formater,Formatta,Formatear
$MCRetry,Retry,Wiederholen,Réessayer,Riprova,Reintentar
$MCCancel,Cancel,Abbrechen,Annuler,Annulla,Cancelar
$MCOK,OK,OK,OK,OK,ACEPTAR
$MCOverwriteNewContinue,Are you sure you wish to overwrite this save file?,"Sind Sie sicher, dass Sie diese Datei überschreiben möchten?",Confirmer l’écrasement de ce fichier ?,Sovrascrivere questo file?,¿Seguro que quieres sobrescribir este archivo guardado?
$MCOverwriteContinue,Are you sure you wish to overwrite this save file?,"Sind Sie sicher, dass Sie diese Datei überschreiben möchten?",Confirmer l’écrasement de ce fichier ?,Sovrascrivere questo file?,¿Seguro que quieres sobrescribir este archivo guardado?
$MCCardRemoved,No memory card (PS2) in MEMORY CARD slot 1.,Keine Memory Card (PS2) in MEMORY CARD-Steckplatz 1 eingelegt.,Pas de memory card (PS2) insérée dans la fente pour MEMORY CARD N° 1.,Nessuna memory card (PS2) inserita nell’ingresso MEMORY CARD 1.,No hay memory card (PS2) en la ranura para MEMORY CARD 1.
$MCCardChanged,The memory card (PS2) in MEMORY CARD slot 1 has changed.,Die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 wurde gewechselt.,La memory card (PS2) insérée dans la fente pour MEMORY CARD N° 1 a été changée.,La memory card (PS2) inserita nell’ingresso MEMORY CARD 1 è cambiata.,La memory card (PS2) de la ranura para MEMORY CARD 1 ha cambiado.
$MCLoadNewGame,The selected save data is empty.  Do you want to start a new game?,Die gewählten Daten sind leer. Möchten Sie ein neues Spiel starten?,Le fichier sélectionné est vide. Commencer une nouvelle partie ?,I dati di salvataggio selezionati sono vuoti. Iniziare una nuova partita?,Los datos guardados seleccionados están vacíos. ¿Quieres comenzar una nueva partida?
$MCYes,Yes,Ja,Oui,Sì,Sí
$MCNo,No,Nein,Non,No,No
$MCAutosaveFailed,Autosave failed!  Autosave has been disabled.  Check memory card (PS2) in MEMORY CARD slot 1 and manually save your game to re-enable autosave.,"Automatisches Speichern gescheitert! Das automatische Speichern wurde deaktiviert. Überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und speichern Sie das Spiel manuell, um das automatische Speichern wieder zu aktivieren.",Echec de l'Auto-sauvegarde ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et sauvegarder manuellement pour réactiver l'Auto-sauvegarde.,Autosalvataggio fallito! Autosalvataggio disabilitato. Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e salvare manualmente la partita per riabilitare l'Autosalvataggio.,¡Error al autoguardar! El autoguardado ha sido desactivado. Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 y guarda manualmente la partida para reactivar el autoguardado.
$MCContinueWOSaving,Are you sure you wish to continue without saving?,Möchten Sie wirklich ohne zu speichern fortfahren?,Voulez-vous vraiment continuer sans sauvegarder ?,Vuoi continuare senza salvare?,¿Seguro que quieres continuar sin guardar?
$MCGameCorrupt,The selected save data is corrupted and cannot be loaded.,Die gewählten Daten sind fehlerhaft und können nicht geladen werden.,Les données sélectionnées sont corrompues et ne peuvent être chargées.,I dati di salvataggio selezionati sono danneggiati e non possono essere caricati.,Los datos guardados seleccionados están dañados y no pueden usarse.
$MCEmptySlot,<Empty>,<Leer>,<Vide>,<Vuoto>,Vacío
$MCSelectSaveSlot,Please select a save slot,Wählen Sie einen Speicherplatz,Sélectionnez un emplacement de sauvegarde,Seleziona uno slot di salvataggio,Selecciona una ranura para guardar
$MCSelectLoadSlot,Please select a  profile to load,Wählen Sie ein Profil zum Laden,Sélectionnez le profil que vous voulez charger,Seleziona il profilo da caricare,Selecciona un perfil para cargar
$MCSelectCreateNewSlot,Please select a profile slot,Bitte wählen Sie einen Profil-Speicherplatz.,Sélectionnez un emplacement de profil,Seleziona uno slot di profilo,Selecciona una ranura de perfil
$MCCheckOK,Memory card (PS2) check successful.,Memory Card (PS2) erfolgreich überprüft.,Vérification terminée.,Controllo della memory card (PS2) riuscito.,Éxito al comprobar la memory card (PS2).
$MCConfirmSave,Do you wish to save the current game data?,Möchten Sie das aktuelle Spiel speichern?,Sauvegarder les données de la partie en cours ?,Vuoi salvare i dati di gioco correnti?,¿Quieres guardar los datos del juego actuales?
$MCDupProfileNameEntered,"There is already a profile by the name \""%name%\"". Please enter a different profile name.","Es existiert bereits ein Profil mit dem Namen \""%name%\"". Bitte geben Sie einen anderen Profilnamen ein.","Un profil nommé \""%name%\"" existé déjà sur la memory card (PS2) dans la fente pour MEMORY CARD N°1. Saisir un autre nom de profil.","Esiste già un profilo col nome \""%name%\"". Usa un nome differente per il profilo.","Ya existe un perfil con el nombre \""%name%\"". Introduce un nombre de perfil diferente."
$MCDupProfilesNotAllowed,"There is already a profile by the name \""%name%\"". Do you wish to overwrite the existing profile by this name?","Es existiert bereits ein Profil mit dem Namen \""%name%\"". Möchten Sie das bestehende Profil überschreiben?","Un profil nommé \""%name%\"" existé déjà sur la memory card (PS2) dans la fente pour MEMORY CARD N°1. Voulez-vous écraser le profil existant ?","Esiste già un profilo col nome \""%name%\"". Vuoi sovrascrivere il profilo esistente con questo nome?","Ya existe un perfil con el nombre \""%name%\"". ¿Quieres sobrescribir el perfil con este nombre?"
